property_id;symptom_id
0de7397f-e5b6-4a09-a843-fa80fae576bc;00deff5a-da84-437d-baba-1f07371d8c7a
1fab389d-839a-4c7e-92ce-af1f2261b796;00deff5a-da84-437d-baba-1f07371d8c7a
957cab50-9d5f-42a3-873e-88c992220715;039a4365-0252-414f-b2cf-16c950a057fa
a3bf66d1-9c93-4c4f-871e-087cdaaa0ae8;040a35ad-0e9c-46dc-b10f-179f61705ca1
3431ede5-0116-4899-8e96-8003448a8b1b;04487d46-ea18-414a-8c14-832ea6a23dfb
1b296882-5540-4cd2-a137-f2322f0b16f4;0515056d-4f34-4fb3-9785-9312bc02e884
1fab389d-839a-4c7e-92ce-af1f2261b796;0515056d-4f34-4fb3-9785-9312bc02e884
20f908f4-f0b0-4281-b612-707f4b3bcb16;0515056d-4f34-4fb3-9785-9312bc02e884
96e39e9d-efe4-4d39-ac44-5af795065e96;0515056d-4f34-4fb3-9785-9312bc02e884
a3bf66d1-9c93-4c4f-871e-087cdaaa0ae8;0515056d-4f34-4fb3-9785-9312bc02e884
957cab50-9d5f-42a3-873e-88c992220715;0516ffcc-2f0a-4c19-a717-6ee24f48f989
00b9fb5c-5e5e-424a-ad6a-60747d76d1ae;090cbab6-b159-4ce8-98f6-39cbaf295565
1fab389d-839a-4c7e-92ce-af1f2261b796;09179593-a00f-4b65-9bd8-11933aa2241c
05f83c35-1065-48b8-8464-d81b7f1b4bc7;0923f9e5-ee9c-41f0-8fd4-9a9aacf6263d
fb7733c1-3a93-4b79-84c1-cd464407b5c4;0ba85335-5cff-45e7-a4ca-880a8e4d11c5
1fab389d-839a-4c7e-92ce-af1f2261b796;0bfb3935-99d8-488e-bf17-3a0bfe69ada6
c31014b3-bef2-4cb9-b43d-92ae8652fd21;0dbff0bb-aa48-4755-ad6d-d4713edb38e0
20f908f4-f0b0-4281-b612-707f4b3bcb16;0e0ea210-e9da-4748-8b22-ade9c53fec3b
1bc4c565-5052-4954-891c-0e4d040c424f;0f636a6b-17dc-42de-a371-59723c805d6f
